persona,task_index,condition,criterion_name,round_1_score,round_5_score,improvement,criterion_priority,criterion_category
Aisha Patel,0,C,Two-Option Framework,10.0,10.0,0.0,1.0,Structure
Aisha Patel,0,C,Audience-Appropriate Logic Flow,10.0,10.0,0.0,3.0,Structure
Aisha Patel,0,C,Quantified Progress,7.666666666666667,10.0,2.333333333333333,2.0,Content
Aisha Patel,0,C,Analytical Authority,10.0,10.0,0.0,4.0,Style
Aisha Patel,0,D,Two-Option Framework,9.0,10.0,1.0,1.0,Structure
Aisha Patel,0,D,Audience-Appropriate Logic Flow,9.0,10.0,1.0,3.0,Structure
Aisha Patel,0,D,Quantified Progress,7.333333333333333,10.0,2.666666666666667,2.0,Content
Aisha Patel,0,D,Analytical Authority,10.0,10.0,0.0,4.0,Style
Aisha Patel,1,C,Audience-Logical Flow,9.0,0.0,-9.0,,
Aisha Patel,1,C,Two-Option Framework,10.0,10.0,0.0,1.0,Structure
Aisha Patel,1,C,Audience-Appropriate Logic Flow,9.0,10.0,1.0,3.0,Structure
Aisha Patel,1,C,Quantified Progress,10.0,10.0,0.0,2.0,Content
Aisha Patel,1,C,Analytical Authority,9.0,10.0,1.0,4.0,Style
Aisha Patel,1,D,Two-Option Framework,10.0,10.0,0.0,1.0,Structure
Aisha Patel,1,D,Audience-Appropriate Logic Flow,9.0,10.0,1.0,3.0,Structure
Aisha Patel,1,D,Quantified Progress,9.0,10.0,1.0,2.0,Content
Aisha Patel,1,D,Analytical Authority,10.0,10.0,0.0,4.0,Style
Alex Chen,0,C,Single-Owner Action Items,9.333333333333334,10.0,0.6666666666666661,2.0,Content
Alex Chen,0,C,No Trailing Sentiment,8.333333333333334,10.0,1.666666666666666,3.0,Style
Alex Chen,0,C,Compression Without Ambiguity,8.0,8.666666666666666,0.6666666666666661,4.0,Style
Alex Chen,0,C,Emotional Arc Sequencing,9.0,9.0,0.0,1.0,Structure
Alex Chen,0,D,Single-Owner Action Items,9.0,6.0,-3.0,2.0,Content
Alex Chen,0,D,No Trailing Sentiment,7.333333333333333,10.0,2.666666666666667,3.0,Style
Alex Chen,0,D,Compression Without Ambiguity,8.0,8.0,0.0,4.0,Style
