criterion_name,max_std,mean_std,n_grading_events
Risk-First Internal Updates,2.309401076758503,0.1312159702703695,22
No Trailing Sentiment,1.5275252316519468,0.13886593015017698,22
Quantified Progress,1.1547005383792515,0.10497277621629558,22
Scoped Review Requests,1.1547005383792515,0.10497277621629558,22
Single Responder Principle,1.1547005383792515,0.18370235837851726,22
CC Audience Awareness,1.1547005383792515,0.07872958216222169,22
Single-Owner Action Items,1.1547005383792515,0.18370235837851726,22
Transparent CC Purpose,1.0,0.17667051572491493,22
Visual Documentation Attached,0.7071067811865476,0.04940219424523743,26
Cost/Schedule Impact First,0.7071067811865476,0.04940219424523743,26
Arbitration-Ready Language,0.7071067811865476,0.11601953299788656,26
Thread Discipline,0.5773502691896257,0.15745916432444337,22
No Commercial Terms in Writing,0.5773502691896257,0.07872958216222169,22
Decision Attribution,0.5773502691896257,0.10497277621629558,22
Named Human Contact Point,0.5773502691896257,0.05248638810814779,22
Problem-First Policy Framing,0.5773502691896257,0.026243194054073896,22
Direct Resource Provision,0.5773502691896257,0.15745916432444337,22
External Constraint Framing,0.5773502691896257,0.026243194054073896,22
Notification/Request Separation,0.5773502691896257,0.022205779584216375,26
Re-engagement Over Check-ins,0.5773502691896257,0.15745916432444337,22
"Link, Don't Duplicate",0.5773502691896257,0.05248638810814779,22
Bounded Process Steps,0.5773502691896257,0.025102185616940248,23
Specific Callback,0.5773502691896257,0.026243194054073896,22
Voice Matching,0.5773502691896257,0.18370235837851726,22
Audience-Appropriate Logic Flow,0.5773502691896257,0.026243194054073896,22
Analytical Authority,0.5773502691896257,0.026243194054073896,22
Emotional Arc Sequencing,0.5773502691896257,0.07872958216222169,22
Compression Without Ambiguity,0.5773502691896257,0.18370235837851726,22
Directive Clarity,0.5773502691896257,0.07872958216222169,22
Recipient-Interest Framing,0.5773502691896257,0.07872958216222169,22
Subject Line as Message,0.5773502691896257,0.026243194054073896,22
Raw Evidence Over Prose Description,0.5773502691896257,0.1312159702703695,22
Radical Brevity,0.5773502691896257,0.2361887464866651,22
Patient Flow Impact First,0.5773502691896257,0.025102185616940248,23
Fallback Procedures Included,0.5773502691896257,0.025102185616940248,23
No Patient Identifiers,0.0,0.0,23
Absolute Date Precision,0.0,0.0,22
Decision Tradeoff Transparency,0.0,0.0,22
Budget Gap Transparency,0.0,0.0,22
Audience-Logical Flow,0.0,0.0,2
Two-Option Framework,0.0,0.0,22
