persona,task_index,condition,final_overall_rubric_score,final_ground_truth_alignment,num_dealbreaker_violations,hidden_pref_satisfaction_rate
Aisha Patel,0,A,0.83,8.0,0,0.8571428571428571
Aisha Patel,0,C,1.0,9.0,0,1.0
Aisha Patel,0,D,1.0,9.0,0,1.0
Aisha Patel,1,A,0.98,9.0,0,1.0
Aisha Patel,1,C,1.0,9.0,0,1.0
Aisha Patel,1,D,1.0,9.0,0,1.0
Alex Chen,0,A,0.94,9.0,0,0.9285714285714286
Alex Chen,0,C,0.9466666666666668,9.0,0,1.0
Alex Chen,0,D,0.7533333333333333,9.0,0,1.0
Alex Chen,1,A,0.92,9.0,0,1.0
Alex Chen,1,C,0.84,6.0,0,0.9166666666666666
Alex Chen,1,D,1.0,6.0,0,0.8333333333333334
Carmen Vasquez,0,A,0.7933333333333333,8.0,0,0.7857142857142857
Carmen Vasquez,0,C,0.8733333333333333,5.0,3,0.5
Carmen Vasquez,0,D,0.8833333333333333,9.0,0,1.0
Carmen Vasquez,1,A,0.8166666666666668,9.0,0,0.9166666666666666
Carmen Vasquez,1,C,0.82,8.0,1,0.9166666666666666
Carmen Vasquez,1,D,0.89,8.0,0,0.8571428571428571
Derek Liang,0,A,0.74,6.0,0,0.6428571428571429
Derek Liang,0,C,0.9966666666666667,9.0,0,0.9375
Derek Liang,0,D,1.0,8.0,0,0.7857142857142857
Derek Liang,1,A,0.8,7.0,0,0.9285714285714286
Derek Liang,1,C,0.8733333333333333,7.0,0,0.6428571428571429
Derek Liang,1,D,0.96,9.0,0,0.9285714285714286
James Okafor,0,A,0.9466666666666665,9.0,0,1.0
James Okafor,0,C,0.96,9.0,0,1.0
James Okafor,0,D,1.0,10.0,0,1.0
James Okafor,1,A,0.9066666666666667,8.0,1,0.75
James Okafor,1,C,0.96,9.0,0,1.0
James Okafor,1,D,1.0,9.0,0,0.9166666666666666
Kofi Mensah,0,A,0.8833333333333333,9.0,0,0.9285714285714286
Kofi Mensah,0,C,1.0,10.0,0,1.0
Kofi Mensah,0,D,1.0,9.0,0,1.0
Kofi Mensah,1,A,0.8033333333333332,9.0,0,0.9166666666666666
Kofi Mensah,1,C,1.0,10.0,0,1.0
Kofi Mensah,1,D,1.0,9.0,0,1.0
Lin Zhang,0,A,0.7533333333333333,8.0,0,0.8333333333333334
Lin Zhang,0,C,0.85,9.0,0,0.9166666666666666
Lin Zhang,0,D,1.0,9.0,0,1.0
Lin Zhang,1,A,0.9,9.0,0,1.0
Lin Zhang,1,C,1.0,10.0,0,1.0
Lin Zhang,1,D,0.96,10.0,0,1.0
Miriam Osei,0,A,0.9933333333333333,9.0,0,0.9285714285714286
Miriam Osei,0,C,1.0,9.0,0,1.0
Miriam Osei,0,D,1.0,9.0,0,1.0
Miriam Osei,1,A,0.9333333333333332,9.0,0,1.0
Miriam Osei,1,C,1.0,9.0,0,1.0
Miriam Osei,1,D,1.0,9.0,0,1.0
Rachel Thornton,0,A,0.7566666666666667,8.0,0,0.9166666666666666
Rachel Thornton,0,C,0.99,10.0,0,1.0
Rachel Thornton,0,D,1.0,10.0,0,1.0
Rachel Thornton,1,A,0.89,9.0,0,1.0
Rachel Thornton,1,C,0.9633333333333333,9.0,0,1.0
Rachel Thornton,1,D,1.0,10.0,0,1.0
Tom Brennan,0,A,0.89,9.0,0,0.9285714285714286
Tom Brennan,0,C,0.0,10.0,0,1.0
Tom Brennan,0,D,1.0,10.0,0,1.0
Tom Brennan,1,A,0.84,8.0,1,0.75
Tom Brennan,1,C,0.96,9.0,0,0.9166666666666666
Tom Brennan,1,D,0.0,9.0,0,0.9166666666666666
