persona,task_index,condition,round,criterion_name,mean_score,std_score,overall_weighted_mean
Aisha Patel,0,A,1,Two-Option Framework,9.0,0.0,0.83
Aisha Patel,0,A,1,Quantified Progress,6.666666666666667,0.5773502691896257,0.83
Aisha Patel,0,A,1,Audience-Appropriate Logic Flow,9.0,0.0,0.83
Aisha Patel,0,A,1,Analytical Authority,9.0,0.0,0.83
Aisha Patel,0,C,1,Two-Option Framework,10.0,0.0,0.93
Aisha Patel,0,C,1,Quantified Progress,7.666666666666667,1.1547005383792515,0.93
Aisha Patel,0,C,1,Audience-Appropriate Logic Flow,10.0,0.0,0.93
Aisha Patel,0,C,1,Analytical Authority,10.0,0.0,0.93
Aisha Patel,0,C,2,Two-Option Framework,9.0,0.0,0.91
Aisha Patel,0,C,2,Quantified Progress,9.0,0.0,0.91
Aisha Patel,0,C,2,Audience-Appropriate Logic Flow,9.0,0.0,0.91
Aisha Patel,0,C,2,Analytical Authority,10.0,0.0,0.91
Aisha Patel,0,C,3,Two-Option Framework,9.0,0.0,0.94
Aisha Patel,0,C,3,Quantified Progress,10.0,0.0,0.94
Aisha Patel,0,C,3,Audience-Appropriate Logic Flow,9.0,0.0,0.94
Aisha Patel,0,C,3,Analytical Authority,10.0,0.0,0.94
Aisha Patel,0,C,4,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,0,C,4,Quantified Progress,10.0,0.0,1.0
Aisha Patel,0,C,4,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,0,C,4,Analytical Authority,10.0,0.0,1.0
Aisha Patel,0,C,5,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,0,C,5,Quantified Progress,10.0,0.0,1.0
Aisha Patel,0,C,5,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,0,C,5,Analytical Authority,10.0,0.0,1.0
Aisha Patel,0,D,1,Two-Option Framework,9.0,0.0,0.86
Aisha Patel,0,D,1,Quantified Progress,7.333333333333333,0.5773502691896257,0.86
Aisha Patel,0,D,1,Audience-Appropriate Logic Flow,9.0,0.0,0.86
Aisha Patel,0,D,1,Analytical Authority,10.0,0.0,0.86
Aisha Patel,0,D,2,Two-Option Framework,9.0,0.0,0.94
Aisha Patel,0,D,2,Quantified Progress,10.0,0.0,0.94
Aisha Patel,0,D,2,Audience-Appropriate Logic Flow,9.0,0.0,0.94
Aisha Patel,0,D,2,Analytical Authority,10.0,0.0,0.94
Aisha Patel,0,D,3,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,0,D,3,Quantified Progress,10.0,0.0,1.0
Aisha Patel,0,D,3,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,0,D,3,Analytical Authority,10.0,0.0,1.0
Aisha Patel,0,D,4,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,0,D,4,Quantified Progress,10.0,0.0,1.0
Aisha Patel,0,D,4,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,0,D,4,Analytical Authority,10.0,0.0,1.0
Aisha Patel,0,D,5,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,0,D,5,Quantified Progress,10.0,0.0,1.0
Aisha Patel,0,D,5,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,0,D,5,Analytical Authority,10.0,0.0,1.0
Aisha Patel,1,A,1,Two-Option Framework,10.0,0.0,0.98
Aisha Patel,1,A,1,Quantified Progress,10.0,0.0,0.98
Aisha Patel,1,A,1,Audience-Appropriate Logic Flow,9.0,0.0,0.98
Aisha Patel,1,A,1,Analytical Authority,10.0,0.0,0.98
Aisha Patel,1,C,1,Two-Option Framework,10.0,0.0,0.97
Aisha Patel,1,C,1,Quantified Progress,10.0,0.0,0.97
Aisha Patel,1,C,1,Audience-Appropriate Logic Flow,9.0,0.0,0.97
Aisha Patel,1,C,1,Analytical Authority,9.0,0.0,0.97
Aisha Patel,1,C,1,Audience-Logical Flow,9.0,0.0,0.97
Aisha Patel,1,C,2,Two-Option Framework,10.0,0.0,0.9533333333333335
Aisha Patel,1,C,2,Quantified Progress,9.0,0.0,0.9533333333333335
Aisha Patel,1,C,2,Audience-Appropriate Logic Flow,9.333333333333334,0.5773502691896257,0.9533333333333335
Aisha Patel,1,C,2,Analytical Authority,9.666666666666666,0.5773502691896257,0.9533333333333335
Aisha Patel,1,C,3,Two-Option Framework,10.0,0.0,0.98
Aisha Patel,1,C,3,Quantified Progress,10.0,0.0,0.98
Aisha Patel,1,C,3,Audience-Appropriate Logic Flow,9.0,0.0,0.98
Aisha Patel,1,C,3,Analytical Authority,10.0,0.0,0.98
Aisha Patel,1,C,4,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,1,C,4,Quantified Progress,10.0,0.0,1.0
Aisha Patel,1,C,4,Audience-Logical Flow,10.0,0.0,1.0
Aisha Patel,1,C,4,Analytical Authority,10.0,0.0,1.0
Aisha Patel,1,C,4,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,1,C,5,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,1,C,5,Quantified Progress,10.0,0.0,1.0
Aisha Patel,1,C,5,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,1,C,5,Analytical Authority,10.0,0.0,1.0
Aisha Patel,1,D,1,Two-Option Framework,10.0,0.0,0.95
Aisha Patel,1,D,1,Quantified Progress,9.0,0.0,0.95
Aisha Patel,1,D,1,Audience-Appropriate Logic Flow,9.0,0.0,0.95
Aisha Patel,1,D,1,Analytical Authority,10.0,0.0,0.95
Aisha Patel,1,D,2,Two-Option Framework,10.0,0.0,0.98
Aisha Patel,1,D,2,Quantified Progress,10.0,0.0,0.98
Aisha Patel,1,D,2,Audience-Appropriate Logic Flow,9.0,0.0,0.98
Aisha Patel,1,D,2,Analytical Authority,10.0,0.0,0.98
Aisha Patel,1,D,3,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,1,D,3,Quantified Progress,10.0,0.0,1.0
Aisha Patel,1,D,3,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,1,D,3,Analytical Authority,10.0,0.0,1.0
Aisha Patel,1,D,4,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,1,D,4,Quantified Progress,10.0,0.0,1.0
Aisha Patel,1,D,4,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,1,D,4,Analytical Authority,10.0,0.0,1.0
Aisha Patel,1,D,5,Two-Option Framework,10.0,0.0,1.0
Aisha Patel,1,D,5,Quantified Progress,10.0,0.0,1.0
Aisha Patel,1,D,5,Audience-Appropriate Logic Flow,10.0,0.0,1.0
Aisha Patel,1,D,5,Analytical Authority,10.0,0.0,1.0
Alex Chen,0,A,1,Emotional Arc Sequencing,9.0,0.0,0.94
Alex Chen,0,A,1,Single-Owner Action Items,10.0,0.0,0.94
Alex Chen,0,A,1,No Trailing Sentiment,10.0,0.0,0.94
Alex Chen,0,A,1,Compression Without Ambiguity,8.0,0.0,0.94
Alex Chen,0,C,1,Emotional Arc Sequencing,9.0,0.0,0.8866666666666667
Alex Chen,0,C,1,Single-Owner Action Items,9.333333333333334,0.5773502691896257,0.8866666666666667
Alex Chen,0,C,1,No Trailing Sentiment,8.333333333333334,1.5275252316519468,0.8866666666666667
Alex Chen,0,C,1,Compression Without Ambiguity,8.0,0.0,0.8866666666666667
Alex Chen,0,C,2,Emotional Arc Sequencing,8.0,0.0,0.87
Alex Chen,0,C,2,Single-Owner Action Items,9.0,0.0,0.87
